last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Crawford, Brandon,543063,2017,570,414,.253,.242,.011,.403,.407,-.004,.301,.310,-.009
Posey, Buster,457763,2017,568,433,.320,.282,.038,.462,.452,.010,.366,.355,.011
Kepler, Max,596146,2017,568,401,.243,.245,-.002,.425,.378,.047,.315,.305,.010
Taylor, Chris,621035,2017,568,373,.288,.282,.006,.496,.463,.033,.361,.354,.007
Segura, Jean,516416,2017,566,442,.300,.283,.017,.427,.416,.011,.334,.327,.007
Gurriel, Yuli,493329,2017,564,473,.299,.287,.012,.486,.442,.044,.345,.333,.012
Herrera, Odubel,546318,2017,563,402,.281,.271,.010,.452,.420,.032,.329,.319,.010
Reyes, Jose,408314,2017,561,430,.246,.242,.004,.413,.355,.058,.312,.297,.015
Garcia, Avisail,541645,2017,561,408,.330,.309,.021,.506,.525,-.019,.375,.378,-.003
Mercer, Jordy,474568,2017,558,416,.255,.264,-.009,.406,.389,.017,.308,.311,-.003
Story, Trevor,596115,2017,555,313,.239,.219,.020,.457,.409,.048,.323,.301,.022
Ramirez, Hanley,434670,2017,553,380,.242,.269,-.027,.429,.492,-.063,.318,.355,-.037
Swanson, Dansby,621020,2017,551,372,.232,.245,-.013,.324,.345,-.021,.276,.297,-.021
Thames, Eric,519346,2017,551,306,.247,.225,.022,.518,.452,.066,.369,.342,.027
Gamel, Ben,592325,2017,550,391,.275,.257,.018,.413,.386,.027,.315,.303,.012
Bellinger, Cody,641355,2017,548,337,.267,.253,.014,.581,.535,.046,.380,.364,.016
Arcia, Orlando,606115,2017,548,411,.277,.253,.024,.407,.370,.037,.309,.292,.017
Joyce, Matt,459964,2017,544,363,.243,.253,-.010,.473,.480,-.007,.343,.358,-.015
Polanco, Jorge,593871,2017,544,423,.256,.256,.000,.410,.379,.031,.309,.306,.003
Molina, Yadier,425877,2017,543,437,.273,.273,.000,.439,.470,-.031,.316,.338,-.022
Turner, Justin,457759,2017,543,409,.322,.304,.018,.530,.555,-.025,.400,.407,-.007
Span, Denard,452655,2017,542,430,.272,.283,-.011,.427,.412,.015,.325,.331,-.006
Harrison, Josh,543281,2017,542,401,.272,.263,.009,.432,.407,.025,.332,.324,.008
Gordon, Alex,460086,2017,541,356,.208,.225,-.017,.315,.365,-.050,.269,.300,-.031
Bradley Jr., Jackie,598265,2017,541,360,.245,.251,-.006,.402,.422,-.020,.313,.330,-.017
Reddick, Josh,502210,2017,540,418,.314,.296,.018,.484,.448,.036,.357,.348,.009
Cabrera, Asdrubal,452678,2017,540,402,.280,.264,.016,.434,.437,-.003,.338,.338,.000
Pence, Hunter,452254,2017,539,395,.260,.269,-.009,.385,.438,-.053,.303,.331,-.028
Sanchez, Yolmer,570560,2017,534,384,.267,.245,.022,.413,.363,.050,.313,.292,.021
Gonzalez, Carlos,471865,2017,534,357,.262,.242,.020,.423,.377,.046,.327,.313,.014
Joseph, Tommy,571830,2017,533,369,.240,.240,.000,.432,.408,.024,.305,.305,.000
Gallo, Joey,608336,2017,532,253,.209,.222,-.013,.537,.554,-.017,.364,.378,-.014
Schebler, Scott,594988,2017,531,353,.233,.264,-.031,.484,.499,-.015,.330,.356,-.026
Pham, Tommy,502054,2017,530,332,.306,.293,.013,.520,.497,.023,.398,.390,.008
Margot, Manuel,622534,2017,529,386,.263,.265,-.002,.409,.378,.031,.309,.308,.001
Cabrera, Miguel,408234,2017,529,362,.249,.282,-.033,.399,.528,-.129,.313,.378,-.065
Granderson, Curtis,434158,2017,527,329,.212,.225,-.013,.452,.457,-.005,.330,.344,-.014
Sanchez, Gary,596142,2017,525,355,.278,.292,-.014,.531,.547,-.016,.368,.389,-.021
Davis, Chris,448801,2017,524,265,.215,.222,-.007,.423,.450,-.027,.312,.332,-.020
Alonso, Yonder,475174,2017,521,333,.266,.260,.006,.501,.502,-.001,.366,.369,-.003
Peraza, Jose,606299,2017,518,421,.259,.297,-.038,.324,.378,-.054,.273,.314,-.041
Gonzalez, Marwin,503556,2017,515,361,.303,.259,.044,.530,.425,.105,.382,.334,.048
Freeman, Freddie,518692,2017,514,347,.307,.293,.014,.586,.596,-.010,.407,.409,-.002
Solarte, Yangervis,500208,2017,512,409,.255,.248,.007,.416,.391,.025,.311,.307,.004
Buxton, Byron,621439,2017,511,319,.253,.250,.003,.413,.399,.014,.312,.309,.003
Beltran, Carlos,136860,2017,509,371,.231,.242,-.011,.383,.384,-.001,.283,.298,-.015
Baez, Javier,595879,2017,508,333,.273,.248,.025,.480,.437,.043,.326,.306,.020
Trout, Mike,545361,2017,507,316,.306,.297,.009,.629,.593,.036,.437,.430,.007
Cozart, Zack,446359,2017,507,364,.297,.256,.041,.548,.406,.142,.392,.336,.056
Freese, David,501896,2017,503,314,.263,.257,.006,.371,.400,-.029,.326,.344,-.018
Valencia, Danny,502143,2017,500,336,.256,.246,.010,.411,.383,.028,.311,.305,.006
Escobar, Eduardo,500871,2017,499,363,.254,.258,-.004,.449,.472,-.023,.320,.337,-.017
Perez, Salvador,521692,2017,499,381,.268,.278,-.010,.495,.536,-.041,.329,.355,-.026
Gennett, Scooter,571697,2017,497,349,.295,.252,.043,.531,.441,.090,.367,.321,.046
Donaldson, Josh,518626,2017,496,306,.270,.265,.005,.559,.553,.006,.396,.398,-.002
Zobrist, Ben,450314,2017,496,369,.232,.257,-.025,.375,.401,-.026,.302,.327,-.025
Harper, Bryce,547180,2017,492,324,.319,.300,.019,.595,.552,.043,.416,.400,.016
Duda, Lucas,446263,2017,491,290,.217,.238,-.021,.496,.492,.004,.341,.355,-.014
Nunez, Eduardo,456488,2017,491,416,.313,.278,.035,.460,.380,.080,.342,.302,.040
Fowler, Dexter,451594,2017,491,323,.264,.277,-.013,.488,.469,.019,.358,.362,-.004
Iglesias, Jose,578428,2017,489,402,.255,.256,-.001,.369,.330,.039,.283,.276,.007
Martinez, J.D.,502110,2017,489,308,.303,.294,.009,.690,.683,.007,.430,.431,-.001
Schwarber, Kyle,656941,2017,486,272,.211,.230,-.019,.467,.493,-.026,.333,.354,-.021
Spangenberg, Cory,605486,2017,486,319,.264,.242,.022,.401,.375,.026,.313,.298,.015
Napoli, Mike,435063,2017,485,265,.193,.198,-.005,.428,.442,-.014,.302,.313,-.011
Sano, Miguel,593934,2017,483,252,.264,.248,.016,.507,.505,.002,.361,.357,.004
Grandal, Yasmani,518735,2017,482,312,.247,.217,.030,.459,.401,.058,.325,.298,.027
Heyward, Jason,518792,2017,481,369,.259,.276,-.017,.389,.408,-.019,.311,.332,-.021
Gyorko, Jedd,576397,2017,481,328,.272,.236,.036,.472,.437,.035,.344,.326,.018
Lucroy, Jonathan,518960,2017,481,376,.265,.265,.000,.371,.374,-.003,.311,.322,-.011
Correa, Carlos,621043,2017,481,334,.315,.318,-.003,.550,.560,-.010,.394,.405,-.011
Drury, Brandon,592273,2017,480,344,.267,.261,.006,.447,.421,.026,.325,.318,.007
Renfroe, Hunter,592669,2017,479,306,.231,.233,-.002,.467,.439,.028,.316,.314,.002
Castro, Starlin,516770,2017,473,353,.300,.271,.029,.454,.421,.033,.338,.317,.021
Maldonado, Martin,455117,2017,471,319,.221,.215,.006,.368,.371,-.003,.279,.282,-.003
Kemp, Matt,461314,2017,467,340,.276,.290,-.014,.463,.515,-.052,.328,.357,-.029
Pollock, A.J.,572041,2017,466,354,.266,.289,-.023,.471,.460,.011,.340,.354,-.014
Wieters, Matt,446308,2017,465,332,.225,.230,-.005,.344,.371,-.027,.273,.290,-.017
Dietrich, Derek,518618,2017,464,311,.249,.263,-.014,.425,.429,-.004,.324,.337,-.013
Pedroia, Dustin,456030,2017,463,364,.293,.287,.006,.392,.386,.006,.331,.333,-.002
Broxton, Keon,542979,2017,463,241,.220,.230,-.010,.420,.424,-.004,.308,.318,-.010
Goins, Ryan,572365,2017,459,332,.237,.217,.020,.356,.317,.039,.278,.270,.008
Perez, Hernan,541650,2017,458,359,.259,.259,.000,.414,.386,.028,.298,.295,.003
Grossman, Robbie,543257,2017,456,307,.246,.277,-.031,.380,.404,-.024,.329,.356,-.027
Frazier, Adam,624428,2017,454,353,.276,.282,-.006,.399,.393,.006,.322,.329,-.007
Belt, Brandon,474832,2017,451,279,.241,.265,-.024,.469,.528,-.059,.352,.388,-.036
Maybin, Cameron,457727,2017,450,303,.228,.237,-.009,.365,.350,.015,.300,.304,-.004
Walker, Neil,435522,2017,448,311,.265,.264,.001,.439,.428,.011,.346,.348,-.002
Turner, Trea,607208,2017,447,333,.284,.290,-.006,.451,.443,.008,.338,.342,-.004
Davidson, Matt,571602,2017,443,254,.220,.215,.005,.452,.460,-.008,.297,.305,-.008
DeJong, Paul,657557,2017,443,294,.285,.264,.021,.532,.485,.047,.359,.337,.022
Grichuk, Randal,545341,2017,442,281,.238,.255,-.017,.473,.513,-.040,.315,.345,-.030
Conforto, Michael,624424,2017,440,262,.279,.266,.013,.555,.534,.021,.392,.386,.006
DeShields, Delino,592261,2017,440,284,.269,.221,.048,.367,.320,.047,.315,.285,.030
Forsythe, Logan,523253,2017,439,257,.224,.239,-.015,.327,.390,-.063,.307,.337,-.030
Villar, Jonathan,542340,2017,436,274,.241,.229,.012,.372,.344,.028,.287,.277,.010
Zunino, Mike,572287,2017,435,228,.251,.221,.030,.509,.465,.044,.355,.332,.023
Martinez, Victor,400121,2017,435,331,.255,.263,-.008,.372,.448,-.076,.303,.340,-.037
Jay, Jon,445055,2017,433,304,.296,.277,.019,.375,.362,.013,.330,.323,.007
Taylor, Michael A.,572191,2017,432,265,.271,.238,.033,.486,.429,.057,.338,.309,.029
Bour, Justin,571506,2017,429,286,.289,.276,.013,.536,.519,.017,.374,.373,.001
Contreras, Willson,575929,2017,428,282,.276,.281,-.005,.499,.494,.005,.362,.371,-.009
Holliday, Matt,407812,2017,427,264,.231,.236,-.005,.432,.437,-.005,.320,.337,-.017
Gomez, Carlos,460576,2017,426,249,.255,.253,.002,.462,.446,.016,.343,.342,.001
Heredia, Guillermo,628338,2017,426,324,.249,.253,-.004,.337,.337,.000,.288,.296,-.008
Braun, Ryan,460075,2017,425,308,.268,.276,-.008,.487,.484,.003,.347,.357,-.010
Parra, Gerardo,467827,2017,425,334,.309,.283,.026,.452,.421,.031,.337,.326,.011
Barnhart, Tucker,571466,2017,423,310,.270,.265,.005,.403,.392,.011,.317,.317,.000
Bonifacio, Jorge,593528,2017,422,267,.255,.255,.000,.432,.456,-.024,.323,.335,-.012
Kiermaier, Kevin,595281,2017,421,286,.276,.246,.030,.450,.386,.064,.337,.308,.029
Hedges, Austin,595978,2017,417,269,.214,.202,.012,.398,.361,.037,.278,.263,.015
Happ, Ian,664023,2017,413,241,.253,.252,.001,.514,.486,.028,.349,.346,.003
Altherr, Aaron,571437,2017,412,269,.272,.260,.012,.516,.479,.037,.359,.345,.014
Wong, Kolten,543939,2017,411,298,.285,.272,.013,.412,.380,.032,.336,.327,.009
Polanco, Gregory,570256,2017,411,320,.251,.261,-.010,.391,.398,-.007,.297,.308,-.011
Haniger, Mitch,571745,2017,410,277,.282,.257,.025,.491,.441,.050,.360,.336,.024
Ellsbury, Jacoby,453056,2017,409,295,.264,.267,-.003,.402,.384,.018,.326,.325,.001
Castro, Jason,488771,2017,407,250,.242,.238,.004,.388,.407,-.019,.315,.324,-.009
Miller, Brad,543543,2017,407,232,.201,.223,-.022,.337,.378,-.041,.294,.323,-.029
Valbuena, Luis,472528,2017,401,246,.199,.209,-.010,.432,.429,.003,.308,.323,-.015
Piscotty, Stephen,572039,2017,401,257,.235,.250,-.015,.367,.414,-.047,.313,.345,-.032
Moss, Brandon,461235,2017,401,236,.207,.235,-.028,.428,.505,-.077,.301,.344,-.043
McCann, Brian,435263,2017,399,296,.241,.254,-.013,.436,.447,-.011,.323,.340,-.017
Descalso, Daniel,518614,2017,398,257,.233,.229,.004,.395,.392,.003,.318,.319,-.001
McCann, James,543510,2017,391,267,.253,.266,-.013,.415,.464,-.049,.316,.346,-.030
Dyson, Jarrod,502481,2017,390,297,.251,.256,-.005,.350,.337,.013,.296,.301,-.005
Beltre, Adrian,134181,2017,389,294,.312,.286,.026,.532,.476,.056,.384,.365,.019
Semien, Marcus,543760,2017,386,261,.249,.246,.003,.398,.393,.005,.314,.319,-.005
Owings, Chris,572008,2017,386,281,.268,.248,.020,.442,.380,.062,.313,.290,.023
Russell, Addison,608365,2017,385,261,.239,.255,-.016,.418,.412,.006,.305,.315,-.010
Gomes, Yan,543228,2017,383,245,.232,.207,.025,.399,.367,.032,.307,.290,.017
Escobar, Yunel,488862,2017,381,299,.274,.286,-.012,.397,.441,-.044,.318,.345,-.027
Mahtook, Mikie,543484,2017,379,271,.276,.280,-.004,.457,.454,.003,.335,.341,-.006
Avila, Alex,488671,2017,376,193,.264,.273,-.009,.447,.565,-.118,.362,.407,-.045
d'Arnaud, Travis,518595,2017,376,292,.244,.249,-.005,.443,.430,.013,.308,.315,-.007
Brantley, Michael,488726,2017,375,292,.299,.283,.016,.444,.434,.010,.342,.341,.001
Aoki, Norichika,493114,2017,374,298,.277,.266,.011,.393,.355,.038,.315,.305,.010
Desmond, Ian,435622,2017,373,258,.274,.237,.037,.375,.325,.050,.305,.275,.030
Smith, Seth,452234,2017,373,252,.258,.272,-.014,.433,.464,-.031,.332,.356,-.024
Kipnis, Jason,543401,2017,373,272,.232,.236,-.004,.414,.418,-.004,.300,.313,-.013
Cron, C.J.,543068,2017,373,246,.248,.257,-.009,.437,.472,-.035,.316,.339,-.023
Flowers, Tyler,452095,2017,370,237,.281,.276,.005,.445,.440,.005,.358,.361,-.003
Aybar, Erick,430947,2017,370,281,.234,.246,-.012,.348,.335,.013,.282,.287,-.005
Adams, Matt,571431,2017,367,255,.274,.278,-.004,.522,.518,.004,.346,.353,-.007
Davis, Rajai,434658,2017,366,255,.235,.238,-.003,.348,.338,.010,.279,.280,-.001
Martin, Russell,431145,2017,365,225,.221,.240,-.019,.388,.417,-.029,.324,.344,-.020
Difo, Wilmer,594694,2017,365,266,.271,.273,-.002,.370,.377,-.007,.293,.301,-.008
Castillo, Welington,456078,2017,365,246,.282,.266,.016,.490,.499,-.009,.344,.347,-.003
Flores, Wilmer,527038,2017,362,288,.271,.267,.004,.488,.466,.022,.331,.332,-.001
Barney, Darwin,446381,2017,362,278,.232,.231,.001,.327,.300,.027,.263,.257,.006
Hicks, Aaron,543305,2017,361,240,.266,.261,.005,.475,.444,.031,.363,.359,.004
Pina, Manny,444489,2017,359,255,.279,.253,.026,.424,.403,.021,.323,.309,.014
Utley, Chase,400284,2017,353,255,.236,.252,-.016,.405,.419,-.014,.316,.334,-.018
Romine, Andrew,461865,2017,348,255,.233,.249,-.016,.336,.353,-.017,.274,.294,-.020
Hernandez, Gorkys,491676,2017,348,241,.255,.257,-.002,.326,.347,-.021,.288,.302,-.014
Hechavarria, Adeiny,588751,2017,348,267,.261,.273,-.012,.406,.404,.002,.295,.308,-.013
Pearce, Steve,456665,2017,348,248,.252,.246,.006,.438,.426,.012,.323,.324,-.001
Vazquez, Christian,543877,2017,345,261,.290,.261,.029,.404,.369,.035,.318,.295,.023
Pirela, Jose,517369,2017,344,244,.288,.269,.019,.490,.429,.061,.355,.331,.024
Asuaje, Carlos,641319,2017,343,237,.270,.233,.037,.362,.334,.028,.307,.284,.023
Williams, Nick,608384,2017,343,220,.288,.269,.019,.473,.435,.038,.344,.333,.011
Hernandez, Enrique,571771,2017,342,221,.215,.217,-.002,.421,.386,.035,.310,.304,.006
